REAPER,VST/VSTi INSTALLED EXTRACTOR
Version:,3.1 FERRETS
by:,Tormy Van Cool
Date:,2023-10-26 13:58:21

CHECK,N.,INSTR.,VST/VSTi/AU/CLAP NAME (Manufacturer),FILE (VSTs) - INST-NotINST (AUs) - CLAP (for Clap Plugins)
,328,,Insight 2 (iZotope /  Inc.),Insight_2.vst
,329,,Insight 2 (iZotope /  Inc.),Insight_2.vst3
,330,,iZotope Alloy 2 (iZotope /  Inc.),iZotope_Alloy_2.vst
,331,,iZotope Alloy 2 (iZotope /  Inc.),iZotope_Alloy_2.vst3
,332,,iZotope DDLY Dynamic Delay (iZotope /  Inc.),iZotope_DDLY_Dynamic_Delay.vst
,333,,iZotope DDLY Dynamic Delay (iZotope /  Inc.),iZotope_DDLY_Dynamic_Delay.vst3
,334,,iZotope Insight (iZotope /  Inc.) (6ch),iZotope_Insight.vst
,335,,iZotope Insight (iZotope /  Inc.),iZotope_Insight.vst3
,336,Instr.,iZotope Iris 2 (iZotope /  Inc.)!!!VSTi,iZotope_Iris_2.vst
,337,Instr.,iZotope Iris 2 (iZotope /  Inc.)!!!VSTi,iZotope_Iris_2.vst3
,338,,iZotope Meter Tap (iZotope /  Inc.) (6ch),iZotope_Meter_Tap.vst
,339,,iZotope Meter Tap (iZotope /  Inc.),iZotope_Meter_Tap.vst3
,340,,iZotope Mobius Filter (iZotope /  Inc.),iZotope_Mobius_Filter.vst
,341,,iZotope Mobius Filter (iZotope /  Inc.),iZotope_Mobius_Filter.vst3
,342,,iZotope Nectar 2 (iZotope /  Inc.),iZotope_Nectar_2.vst
,343,,iZotope Nectar 2 (iZotope /  Inc.),iZotope_Nectar_2.vst3
,344,,iZotope Nectar 2 Breath Control (iZotope /  Inc.),iZotope_Nectar_2_Breath_Control.vst
,345,,iZotope Nectar 2 Breath Control (iZotope /  Inc.),iZotope_Nectar_2_Breath_Control.vst3
,346,,iZotope Nectar 2 Pitch Editor (iZotope /  Inc.),iZotope_Nectar_2_Pitch_Editor.vst
,347,,iZotope Nectar 2 Pitch Editor (iZotope /  Inc.),iZotope_Nectar_2_Pitch_Editor.vst3
,348,,iZotope Ozone 5 (iZotope /  Inc.),iZotope_Ozone_5.vst
,349,,iZotope Ozone 5 (iZotope /  Inc.),iZotope_Ozone_5.vst3
,350,,iZotope Ozone 7 (iZotope /  Inc.),iZotope_Ozone_7.vst
,351,,iZotope Ozone 7 (iZotope /  Inc.),iZotope_Ozone_7.vst3
,352,,iZotope Ozone 7 Dynamic EQ (iZotope /  Inc.),iZotope_Ozone_7_Dynamic_EQ.vst
,353,,iZotope Ozone 7 Dynamic EQ (iZotope /  Inc.),iZotope_Ozone_7_Dynamic_EQ.vst3
,354,,iZotope Ozone 7 Dynamics (iZotope /  Inc.),iZotope_Ozone_7_Dynamics.vst
,355,,iZotope Ozone 7 Dynamics (iZotope /  Inc.),iZotope_Ozone_7_Dynamics.vst3
,356,,iZotope Ozone 7 Equalizer (iZotope /  Inc.),iZotope_Ozone_7_Equalizer.vst
,357,,iZotope Ozone 7 Equalizer (iZotope /  Inc.),iZotope_Ozone_7_Equalizer.vst3
,358,,iZotope Ozone 7 Exciter (iZotope /  Inc.),iZotope_Ozone_7_Exciter.vst
,359,,iZotope Ozone 7 Exciter (iZotope /  Inc.),iZotope_Ozone_7_Exciter.vst3
,360,,iZotope Ozone 7 Imager (iZotope /  Inc.),iZotope_Ozone_7_Imager.vst
,361,,iZotope Ozone 7 Imager (iZotope /  Inc.),iZotope_Ozone_7_Imager.vst3
,362,,iZotope Ozone 7 Maximizer (iZotope /  Inc.),iZotope_Ozone_7_Maximizer.vst
,363,,iZotope Ozone 7 Maximizer (iZotope /  Inc.),iZotope_Ozone_7_Maximizer.vst3
,364,,iZotope Ozone 7 Vintage Compres (iZotope /  Inc.),iZotope_Ozone_7_Vintage_Compressor.vst
,365,,iZotope Ozone 7 Vintage Compressor (iZotope /  Inc.),iZotope_Ozone_7_Vintage_Compressor.vst3
,366,,iZotope Ozone 7 Vintage EQ (iZotope /  Inc.),iZotope_Ozone_7_Vintage_EQ.vst
,367,,iZotope Ozone 7 Vintage EQ (iZotope /  Inc.),iZotope_Ozone_7_Vintage_EQ.vst3
,368,,iZotope Ozone 7 Vintage Limiter (iZotope /  Inc.),iZotope_Ozone_7_Vintage_Limiter.vst
,369,,iZotope Ozone 7 Vintage Limiter (iZotope /  Inc.),iZotope_Ozone_7_Vintage_Limiter.vst3
,370,,iZotope Ozone 7 Vintage Tape (iZotope /  Inc.),iZotope_Ozone_7_Vintage_Tape.vst
,371,,iZotope Ozone 7 Vintage Tape (iZotope /  Inc.),iZotope_Ozone_7_Vintage_Tape.vst3
,372,,iZotope RX 5 De-click (iZotope /  Inc.),iZotope_RX_5_De_click.vst
,373,,iZotope RX 5 De-click (iZotope /  Inc.),iZotope_RX_5_De_click.vst3
,374,,iZotope RX 5 De-clip (iZotope /  Inc.),iZotope_RX_5_De_clip.vst
,375,,iZotope RX 5 De-clip (iZotope /  Inc.),iZotope_RX_5_De_clip.vst3
,376,,iZotope RX 5 De-hum (iZotope /  Inc.),iZotope_RX_5_De_hum.vst
,377,,iZotope RX 5 De-hum (iZotope /  Inc.),iZotope_RX_5_De_hum.vst3
,378,,iZotope RX 5 Dialogue De-noise (iZotope /  Inc.),iZotope_RX_5_Dialogue_De_noise.vst
,379,,iZotope RX 5 Dialogue De-noise (iZotope /  Inc.),iZotope_RX_5_Dialogue_De_noise.vst3
,380,,iZotope Stutter Edit (iZotope /  Inc.),iZotope_Stutter_Edit.vst
,381,,iZotope Stutter Edit (iZotope /  Inc.),iZotope_Stutter_Edit.vst3
,382,,iZotope Trash 2 (iZotope /  Inc.),iZotope_Trash_2.vst
,383,,iZotope Trash 2 (iZotope /  Inc.),iZotope_Trash_2.vst3
,384,,iZotope VocalSynth (iZotope /  Inc.),iZotope_VocalSynth.vst
,385,,iZotope VocalSynth (iZotope /  Inc.),iZotope_VocalSynth.vst3
,386,,JACK-insert (x86) ((c) 2003-2009 /  J.Petrantoni /  Grame),JACK_insert.vst
,387,,Chorus (kiloHearts),kHs_Chorus.vst
,388,,Delay (kiloHearts),kHs_Delay.vst
,389,,Formant Filter (kiloHearts),kHs_Formant_Filter.vst
,390,,Gain (kiloHearts),kHs_Gain.vst
,391,,Limiter (kiloHearts),kHs_Limiter.vst
,392,,Stereo (kiloHearts),kHs_Stereo.vst
,393,,Trance Gate (kiloHearts),kHs_Trance_Gate.vst
,394,,Kickstart (Nicky Romero),Kickstart.vst
,395,Instr.,Cream (Kirnu)!!!VSTi,Kirnu_Cream64_DEMO.vst
,396,Instr.,Cream (x86) (Kirnu)!!!VSTi,Kirnu_Cream_DEMO.vst
,397,Instr.,Kontakt 5 (Native Instruments GmbH) (64 out)!!!VSTi,Kontakt_5.vst
,398,Instr.,Kontakt 5 (Native Instruments GmbH) (16 out)!!!VSTi,Kontakt_5_16out.vst
,399,Instr.,Kontakt 5 (Native Instruments GmbH) (8 out)!!!VSTi,Kontakt_5_8out.vst
,400,,KRETS (Klevgrand),krets.vst
,401,,KRETS (Klevgrand),krets.vst3
,402,Instr.,LABS (Spitfire Audio)!!!VSTi,LABS.vst
,403,Instr.,LABS (Spitfire Audio)!!!VSTi,LABS.vst3
,404,,LFOTool (Xfer Records),LFOTool.vst
,405,Instr.,LIRA-8 (Pierre Guillot)!!!VSTi,LIRA_8.vst
,406,Instr.,LIRA-8 (Undefined)!!!VSTi,LIRA_8.vst3
,407,,Listento (Audiomovers) (16ch),Listento.vst
,408,,Listento (Audiomovers),Listento.vst3
,409,,Listento Receiver (Audiomovers) (16ch),Listento_Receiver.vst
,410,,Listento Receiver (Audiomovers),Listento_Receiver.vst3
,411,,Little AlterBoy (SoundToys),LittleAlterBoy.vst
,412,,Little MicroShift (SoundToys),LittleMicroShift.vst
,413,,Little Plate (Soundtoys),LittlePlate.vst
,414,,Little Radiator (Soundtoys),LittleRadiator.vst
,415,,Lua Protoplug Fx (pac),Lua_Protoplug_Fx.vst
,416,Instr.,Lua Protoplug Gen (pac)!!!VSTi,Lua_Protoplug_Gen.vst
,417,Instr.,M1 Le (KORG) (4 out)!!!VSTi,M1_Le.vst
,418,,MAGC (MeldaProduction),MAGC.vst
,419,,MAGC (MeldaProduction),MAGC.vst3
,420,,MAmp (MeldaProduction),MAmp.vst
,421,,MAmp (MeldaProduction),MAmp.vst3
,422,,MAnalyzer (MeldaProduction),MAnalyzer.vst
,423,,MAnalyzer (MeldaProduction),MAnalyzer.vst3
,424,Instr.,The Mangle (Sound Guru)!!!VSTi,Mangle.vst
,425,Instr.,Massive (Native Instruments GmbH)!!!VSTi,Massive.vst
,426,,MatrixMultiplier (IEM) (64ch),MatrixMultiplier.vst
,427,,MAutopan (MeldaProduction),MAutopan.vst
,428,,MAutopan (MeldaProduction),MAutopan.vst3
,429,,MAutoPitch (MeldaProduction),MAutoPitch.vst
,430,,MAutoPitch (MeldaProduction),MAutoPitch.vst3
,431,,MBandPass (MeldaProduction),MBandPass.vst
,432,,MBandPass (MeldaProduction),MBandPass.vst3
,433,,MBitFun (MeldaProduction),MBitFun.vst
,434,,MBitFun (MeldaProduction),MBitFun.vst3
,435,,MCCGenerator (MeldaProduction),MCCGenerator.vst
,436,,MCCGenerator (MeldaProduction),MCCGenerator.vst3
,437,,mcfx_convolver16 (kronlachner) (16ch),mcfx_convolver16.vst
,438,,mcfx_convolver2 (kronlachner),mcfx_convolver2.vst
,439,,mcfx_convolver24 (kronlachner) (24ch),mcfx_convolver24.vst
,440,,mcfx_convolver32 (kronlachner) (32ch),mcfx_convolver32.vst
,441,,mcfx_convolver36 (kronlachner) (36ch),mcfx_convolver36.vst
,442,,mcfx_convolver4 (kronlachner) (4ch),mcfx_convolver4.vst
,443,,mcfx_convolver50 (kronlachner) (50ch),mcfx_convolver50.vst
,444,,mcfx_convolver64 (kronlachner) (64ch),mcfx_convolver64.vst
,445,,mcfx_convolver8 (kronlachner) (8ch),mcfx_convolver8.vst
,446,,mcfx_delay16 (kronlachner) (16ch),mcfx_delay16.vst
,447,,mcfx_delay2 (kronlachner),mcfx_delay2.vst
,448,,mcfx_delay24 (kronlachner) (24ch),mcfx_delay24.vst
,449,,mcfx_delay32 (kronlachner) (32ch),mcfx_delay32.vst
,450,,mcfx_delay36 (kronlachner) (36ch),mcfx_delay36.vst
,451,,mcfx_delay4 (kronlachner) (4ch),mcfx_delay4.vst
,452,,mcfx_delay50 (kronlachner) (50ch),mcfx_delay50.vst
,453,,mcfx_delay64 (kronlachner) (64ch),mcfx_delay64.vst
,454,,mcfx_delay8 (kronlachner) (8ch),mcfx_delay8.vst
,455,,mcfx_filter16 (kronlachner) (16ch),mcfx_filter16.vst
,456,,mcfx_filter2 (kronlachner),mcfx_filter2.vst
,457,,mcfx_filter24 (kronlachner) (24ch),mcfx_filter24.vst
,458,,mcfx_filter32 (kronlachner) (32ch),mcfx_filter32.vst
,459,,mcfx_filter36 (kronlachner) (36ch),mcfx_filter36.vst
,460,,mcfx_filter4 (kronlachner) (4ch),mcfx_filter4.vst
,461,,mcfx_filter50 (kronlachner) (50ch),mcfx_filter50.vst
,462,,mcfx_filter64 (kronlachner) (64ch),mcfx_filter64.vst
,463,,mcfx_filter8 (kronlachner) (8ch),mcfx_filter8.vst
,464,,mcfx_gain_delay16 (kronlachner) (16ch),mcfx_gain_delay16.vst
,465,,mcfx_gain_delay2 (kronlachner),mcfx_gain_delay2.vst
,466,,mcfx_gain_delay24 (kronlachner) (24ch),mcfx_gain_delay24.vst
,467,,mcfx_gain_delay32 (kronlachner) (32ch),mcfx_gain_delay32.vst
,468,,mcfx_gain_delay36 (kronlachner) (36ch),mcfx_gain_delay36.vst
,469,,mcfx_gain_delay4 (kronlachner) (4ch),mcfx_gain_delay4.vst
,470,,mcfx_gain_delay50 (kronlachner) (50ch),mcfx_gain_delay50.vst
,471,,mcfx_gain_delay64 (kronlachner) (64ch),mcfx_gain_delay64.vst
,472,,mcfx_gain_delay8 (kronlachner) (8ch),mcfx_gain_delay8.vst
,473,,mcfx_meter16 (kronlachner) (16ch),mcfx_meter16.vst
,474,,mcfx_meter2 (kronlachner),mcfx_meter2.vst
,475,,mcfx_meter24 (kronlachner) (24ch),mcfx_meter24.vst
,476,,mcfx_meter32 (kronlachner) (32ch),mcfx_meter32.vst
,477,,mcfx_meter36 (kronlachner) (36ch),mcfx_meter36.vst
,478,,mcfx_meter4 (kronlachner) (4ch),mcfx_meter4.vst
,479,,mcfx_meter50 (kronlachner) (50ch),mcfx_meter50.vst
,480,,mcfx_meter64 (kronlachner) (64ch),mcfx_meter64.vst
,481,,mcfx_meter8 (kronlachner) (8ch),mcfx_meter8.vst
,482,,MChannelMatrix (MeldaProduction),MChannelMatrix.vst
,483,,MChannelMatrix (MeldaProduction),MChannelMatrix.vst3
,484,,MCharmVerb (MeldaProduction),MCharmVerb.vst
,485,,MCharmVerb (MeldaProduction),MCharmVerb.vst3
,486,,MComb (MeldaProduction),MComb.vst
,487,,MComb (MeldaProduction),MComb.vst3
,488,,MCompressor (MeldaProduction),MCompressor.vst
,489,,MCompressor (MeldaProduction),MCompressor.vst3
,490,,MConvolutionEZ (MeldaProduction),MConvolutionEZ.vst
,491,,MConvolutionEZ (MeldaProduction),MConvolutionEZ.vst3
,492,Instr.,MelodicFlow (FeelYourSound)!!!VSTi,MelodicFlow.vst
,493,,Melodyne (Celemony),Melodyne.vst3
,494,,MEqualizer (MeldaProduction),MEqualizer.vst
,495,,MEqualizer (MeldaProduction),MEqualizer.vst3
,496,,MFilter (MeldaProduction),MFilter.vst
,497,,MFilter (MeldaProduction),MFilter.vst3
,498,,MFlanger (MeldaProduction),MFlanger.vst
,499,,MFlanger (MeldaProduction),MFlanger.vst3
,500,,MFreeformPhase (MeldaProduction),MFreeformPhase.vst
,501,,MFreeformPhase (MeldaProduction),MFreeformPhase.vst3
,502,,MFreqShifter (MeldaProduction),MFreqShifter.vst
,503,,MFreqShifter (MeldaProduction),MFreqShifter.vst3
,504,,Mic Mod (Antares),Mic_Mod.vst3
,505,,Mic Mod EFX (Antares Audio Technologies),Mic_Mod_EFX.vst3
,506,Instr.,Midi Madness 3 (Midi Madness Software)!!!VSTi,Midi_Madness_3.vst
,507,Instr.,MIDI Shift Array (Xfer Records)!!!VSTi,MIDIShiftArray.vst
,508,,MIOConsoleConnect (Metric Halo),MIOConsoleConnectVST.vst
,509,,MLoudnessAnalyzer (MeldaProduction),MLoudnessAnalyzer.vst
,510,,MLoudnessAnalyzer (MeldaProduction),MLoudnessAnalyzer.vst3
,511,,MMetronome (MeldaProduction),MMetronome.vst
,512,,MMetronome (MeldaProduction),MMetronome.vst3
,513,,MMorph (MeldaProduction),MMorph.vst
,514,,MMorph (MeldaProduction),MMorph.vst3
,515,,MMultiBandAutopan (MeldaProduction),MMultiBandAutopan.vst
,516,,MMultiBandAutopan (MeldaProduction),MMultiBandAutopan.vst3
,517,,MMultiBandBitFun (MeldaProduction),MMultiBandBitFun.vst
,518,,MMultiBandBitFun (MeldaProduction),MMultiBandBitFun.vst3
,519,,MMultiBandChorus (MeldaProduction),MMultiBandChorus.vst
,520,,MMultiBandChorus (MeldaProduction),MMultiBandChorus.vst3
,521,,MMultiBandComb (MeldaProduction),MMultiBandComb.vst
,522,,MMultiBandComb (MeldaProduction),MMultiBandComb.vst3
,523,,MMultiBandConvolution (MeldaProduction),MMultiBandConvolution.vst
,524,,MMultiBandConvolution (MeldaProduction),MMultiBandConvolution.vst3
,525,,MMultiBandDelay (MeldaProduction),MMultiBandDelay.vst
,526,,MMultiBandDelay (MeldaProduction),MMultiBandDelay.vst3
,527,,MMultiBandDistortion (MeldaProduction),MMultiBandDistortion.vst
,528,,MMultiBandDistortion (MeldaProduction),MMultiBandDistortion.vst3
,529,,MMultiBandFlanger (MeldaProduction),MMultiBandFlanger.vst
,530,,MMultiBandFlanger (MeldaProduction),MMultiBandFlanger.vst3
,531,,MMultiBandFreqShifter (MeldaProduction),MMultiBandFreqShifter.vst
,532,,MMultiBandFreqShifter (MeldaProduction),MMultiBandFreqShifter.vst3
,533,,MMultiBandGranular (MeldaProduction),MMultiBandGranular.vst
,534,,MMultiBandGranular (MeldaProduction),MMultiBandGranular.vst3
,535,,MMultiBandHarmonizer (MeldaProduction),MMultiBandHarmonizer.vst
,536,,MMultiBandHarmonizer (MeldaProduction),MMultiBandHarmonizer.vst3
,537,,MMultiBandPhaser (MeldaProduction),MMultiBandPhaser.vst
,538,,MMultiBandPhaser (MeldaProduction),MMultiBandPhaser.vst3
,539,,MMultiBandReverb (MeldaProduction),MMultiBandReverb.vst
,540,,MMultiBandReverb (MeldaProduction),MMultiBandReverb.vst3
,541,,MMultiBandRhythmizer (MeldaProduction),MMultiBandRhythmizer.vst
,542,,MMultiBandRhythmizer (MeldaProduction),MMultiBandRhythmizer.vst3
,543,,MMultiBandRingModulator (MeldaProduction),MMultiBandRingModulator.vst
,544,,MMultiBandRingModulator (MeldaProduction),MMultiBandRingModulator.vst3
,545,,MMultiBandSaturator (MeldaProduction),MMultiBandSaturator.vst
,546,,MMultiBandSaturator (MeldaProduction),MMultiBandSaturator.vst3
,547,,MMultiBandTremolo (MeldaProduction),MMultiBandTremolo.vst
,548,,MMultiBandTremolo (MeldaProduction),MMultiBandTremolo.vst3
,549,,MMultiBandVibrato (MeldaProduction),MMultiBandVibrato.vst
,550,,MMultiBandVibrato (MeldaProduction),MMultiBandVibrato.vst3
,551,,MMultiBandWaveShaper (MeldaProduction),MMultiBandWaveShaper.vst
,552,,MMultiBandWaveShaper (MeldaProduction),MMultiBandWaveShaper.vst3
,553,,MNoiseGenerator (MeldaProduction),MNoiseGenerator.vst
,554,,MNoiseGenerator (MeldaProduction),MNoiseGenerator.vst3
,555,,MNotepad (MeldaProduction),MNotepad.vst
,556,,MNotepad (MeldaProduction),MNotepad.vst3
,557,,MOscillator (MeldaProduction),MOscillator.vst
,558,,MOscillator (MeldaProduction),MOscillator.vst3
,559,,MOscilloscope (MeldaProduction),MOscilloscope.vst
,560,,MOscilloscope (MeldaProduction),MOscilloscope.vst3
,561,,Movement (Output) (3ch),Movement.vst
,562,,Movement (Output),Movement.vst3
,563,,MPhaser (MeldaProduction),MPhaser.vst
,564,,MPhaser (MeldaProduction),MPhaser.vst3
,565,,MRatio (MeldaProduction),MRatio.vst
,566,,MRatio (MeldaProduction),MRatio.vst3
,567,,MRatioMB (MeldaProduction),MRatioMB.vst
,568,,MRatioMB (MeldaProduction),MRatioMB.vst3
,569,,MRecorder (MeldaProduction),MRecorder.vst
,570,,MRecorder (MeldaProduction),MRecorder.vst3
,571,,MRhythmizer (MeldaProduction),MRhythmizer.vst
,572,,MRhythmizer (MeldaProduction),MRhythmizer.vst3
,573,,MRingModulator (MeldaProduction),MRingModulator.vst
,574,,MRingModulator (MeldaProduction),MRingModulator.vst3
,575,,MRotary (MeldaProduction),MRotary.vst
,576,,MRotary (MeldaProduction),MRotary.vst3
,577,,audiounit (Ambisonic Studio),MS_Decoder.vst
,578,,MSaturator (MeldaProduction),MSaturator.vst
,579,,MSaturator (MeldaProduction),MSaturator.vst3
,580,,MSpectralPan (MeldaProduction),MSpectralPan.vst
,581,,MSpectralPan (MeldaProduction),MSpectralPan.vst3
,582,,MStereoExpander (MeldaProduction),MStereoExpander.vst
,583,,MStereoExpander (MeldaProduction),MStereoExpander.vst3
,584,,MStereoScope (MeldaProduction),MStereoScope.vst
,585,,MStereoScope (MeldaProduction),MStereoScope.vst3
,586,,MTransformer (MeldaProduction),MTransformer.vst
,587,,MTransformer (MeldaProduction),MTransformer.vst3
,588,,MTremolo (MeldaProduction),MTremolo.vst
,589,,MTremolo (MeldaProduction),MTremolo.vst3
,590,,MTuner (MeldaProduction),MTuner.vst
,591,,MTuner (MeldaProduction),MTuner.vst3
,592,,MultiBandCompressor (IEM) (64ch),MultiBandCompressor.vst
,593,,MultiEncoder (IEM) (64ch),MultiEncoder.vst
,594,,MultiEQ (IEM) (64ch),MultiEQ.vst
,595,,Muteomatic (Sound Radix),Muteomatic.vst
,596,,Muteomatic (Sound Radix) (mono),Muteomatic.vst3
,597,,MUtility (MeldaProduction),MUtility.vst
,598,,MUtility (MeldaProduction),MUtility.vst3
,599,,MVibrato (MeldaProduction),MVibrato.vst
,600,,MVibrato (MeldaProduction),MVibrato.vst3
,601,,MVintageRotary (MeldaProduction),MVintageRotary.vst
,602,,MVintageRotary (MeldaProduction),MVintageRotary.vst3
,603,,MVocoder (MeldaProduction),MVocoder.vst
,604,,MVocoder (MeldaProduction),MVocoder.vst3
,605,,MWaveFolder (MeldaProduction),MWaveFolder.vst
,606,,MWaveFolder (MeldaProduction),MWaveFolder.vst3
,607,,MWaveShaper (MeldaProduction),MWaveShaper.vst
,608,,MWaveShaper (MeldaProduction),MWaveShaper.vst3
,609,,MWobbler (MeldaProduction),MWobbler.vst
,610,,MWobbler (MeldaProduction),MWobbler.vst3
,611,,MXXX (MeldaProduction),MXXX.vst
,612,,MXXX (MeldaProduction),MXXX.vst3
,613,,MyBino (XAudio),MyBino.vst
,614,,Nectar 3 (iZotope /  Inc.),Nectar_3.vst
,615,,Nectar 3 (iZotope /  Inc.),Nectar_3.vst3
,616,Instr.,Nerve (Xfer Records) (32 out)!!!VSTi,Nerve.vst
,617,,Neutrino (iZotope /  Inc.),Neutrino.vst
,618,,Neutrino (iZotope /  Inc.),Neutrino.vst3
,619,,Neutron (iZotope /  Inc.),Neutron.vst
,620,,Neutron (iZotope /  Inc.),Neutron.vst3
,621,,Neutron 2 (iZotope /  Inc.),Neutron_2.vst
,622,,Neutron 2 (iZotope /  Inc.),Neutron_2.vst3
,623,,Neutron 2 Compressor (iZotope /  Inc.),Neutron_2_Compressor.vst
,624,,Neutron 2 Compressor (iZotope /  Inc.),Neutron_2_Compressor.vst3
,625,,Neutron 2 Equalizer (iZotope /  Inc.),Neutron_2_Equalizer.vst
,626,,Neutron 2 Equalizer (iZotope /  Inc.),Neutron_2_Equalizer.vst3
,627,,Neutron 2 Exciter (iZotope /  Inc.),Neutron_2_Exciter.vst
,628,,Neutron 2 Exciter (iZotope /  Inc.),Neutron_2_Exciter.vst3
,629,,Neutron 2 Gate (iZotope /  Inc.),Neutron_2_Gate.vst
,630,,Neutron 2 Gate (iZotope /  Inc.),Neutron_2_Gate.vst3
,631,,Neutron 2 Mix Tap (iZotope /  Inc.),Neutron_2_Mix_Tap.vst
,632,,Neutron 2 Mix Tap (iZotope /  Inc.),Neutron_2_Mix_Tap.vst3
,633,,Neutron 2 Transient Shaper (iZotope /  Inc.),Neutron_2_Transient_Shaper.vst
,634,,Neutron 2 Transient Shaper (iZotope /  Inc.),Neutron_2_Transient_Shaper.vst3
,635,,Neutron 2 Visual Mixer (iZotope /  Inc.),Neutron_2_Visual_Mixer.vst
,636,,Neutron 2 Visual Mixer (iZotope /  Inc.),Neutron_2_Visual_Mixer.vst3
,637,,Neutron 3 (iZotope /  Inc.),Neutron_3.vst
,638,,Neutron 3 (iZotope /  Inc.),Neutron_3.vst3
,639,,Neutron 3 Compressor (iZotope /  Inc.),Neutron_3_Compressor.vst
,640,,Neutron 3 Compressor (iZotope /  Inc.),Neutron_3_Compressor.vst3
,641,,Neutron 3 Equalizer (iZotope /  Inc.),Neutron_3_Equalizer.vst
,642,,Neutron 3 Equalizer (iZotope /  Inc.),Neutron_3_Equalizer.vst3
,643,,Neutron 3 Exciter (iZotope /  Inc.),Neutron_3_Exciter.vst
,644,,Neutron 3 Exciter (iZotope /  Inc.),Neutron_3_Exciter.vst3
,645,,Neutron 3 Gate (iZotope /  Inc.),Neutron_3_Gate.vst
,646,,Neutron 3 Gate (iZotope /  Inc.),Neutron_3_Gate.vst3
,647,,Neutron 3 Sculptor (iZotope /  Inc.),Neutron_3_Sculptor.vst
,648,,Neutron 3 Sculptor (iZotope /  Inc.),Neutron_3_Sculptor.vst3
,649,,Neutron 3 Transient Shaper (iZotope /  Inc.),Neutron_3_Transient_Shaper.vst
,650,,Neutron 3 Transient Shaper (iZotope /  Inc.),Neutron_3_Transient_Shaper.vst3
,651,,Neutron 3 Visual Mixer (iZotope /  Inc.),Neutron_3_Visual_Mixer.vst
,652,,Neutron 3 Visual Mixer (iZotope /  Inc.),Neutron_3_Visual_Mixer.vst3
,653,,Neutron Compressor (iZotope /  Inc.),Neutron_Compressor.vst
,654,,Neutron Compressor (iZotope /  Inc.),Neutron_Compressor.vst3
,655,,Neutron Equalizer (iZotope /  Inc.),Neutron_Equalizer.vst
,656,,Neutron Equalizer (iZotope /  Inc.),Neutron_Equalizer.vst3
,657,,Neutron Exciter (iZotope /  Inc.),Neutron_Exciter.vst
,658,,Neutron Exciter (iZotope /  Inc.),Neutron_Exciter.vst3
,659,,Neutron Transient Shaper (iZotope /  Inc.),Neutron_Transient_Shaper.vst
,660,,Neutron Transient Shaper (iZotope /  Inc.),Neutron_Transient_Shaper.vst3
,661,,Newfangled EQuivocate (Newfangled Audio),Newfangled_EQuivocate.vst
,662,,<SHELL>,O3ACore.vst
,663,,O3A Panner (Blue Ripple Sound Limited),O3ACore.vst<1635149926
,664,,O3A Injector - O2A (Blue Ripple Sound Limited),O3ACore.vst<1651532653
,665,,O3A Gain (Blue Ripple Sound Limited),O3ACore.vst<1668576109
,666,,O3A Beamer (Blue Ripple Sound Limited),O3ACore.vst<1718579058
,667,,O3A Virtual Microphone (Blue Ripple Sound Limited),O3ACore.vst<1718839909
,668,,O3A Panner - Hemisphere (Blue Ripple Sound Limited),O3ACore.vst<1752003429
,669,,O3A Panner - Two Channel (Blue Ripple Sound Limited),O3ACore.vst<1786000762
,670,,O3A Panner - Classic (Blue Ripple Sound Limited),O3ACore.vst<1802594673
,671,,O3A Panner - Large (Blue Ripple Sound Limited),O3ACore.vst<1803171449
,672,,O3A Flare (Blue Ripple Sound Limited),O3ACore.vst<1818387571
,673,,O3A Meter (Blue Ripple Sound Limited),O3ACore.vst<1835168622
,674,,O3A Visualiser - Hemisphere (Blue Ripple Sound Limited),O3ACore.vst<1836217208
,675,,O3A Decoder - FuMa (Blue Ripple Sound Limited),O3ACore.vst<1836278582
,676,,O3A Decoder - Mono (Blue Ripple Sound Limited),O3ACore.vst<1869443682
,677,,O3A Decoder - O1A (Blue Ripple Sound Limited),O3ACore.vst<1869640818
,678,,O3A Visualiser (Blue Ripple Sound Limited),O3ACore.vst<1902934579
,679,,O3A Rotation (Blue Ripple Sound Limited),O3ACore.vst<1919574892
,680,,O3A Decoder - O2A (Blue Ripple Sound Limited),O3ACore.vst<1952869483
,681,,O3A Injector - FuMa (Blue Ripple Sound Limited),O3ACore.vst<1952871276
,682,,O3A Injector - O1A (Blue Ripple Sound Limited),O3ACore.vst<1969516407
,683,,O3A Meter - Signal (Blue Ripple Sound Limited),O3ACore.vst<2003137402
,684,,O3A Look (Blue Ripple Sound Limited),O3ACore.vst<2033214073
,685,,O3A Decoder - 5.1 Basic (Blue Ripple Sound Limited),O3ACore.vst<2037280365
,686,,O3A Colourizer (Blue Ripple Sound Limited),O3ACore.vst<811823716
,687,,O3A Panner - Eight Channel (Blue Ripple Sound Limited),O3ACore.vst<812349306
,688,,O3A Decoder - Stereo (Blue Ripple Sound Limited),O3ACore.vst<929593189
,689,,Oculus Spatializer (Oculus),OculusSpatializer.vst
,690,,OmniCompressor (IEM) (64ch),OmniCompressor.vst
,691,Instr.,Omnisphere (Spectrasonics) (16 out)!!!VSTi,Omnisphere.vst
,692,,OSL Side Effects (Oblivion Sound Lab),OSL_Side_Effects.vst3
,693,,OTT (Xfer Records),OTT.vst
,694,,Ozone 8 (iZotope /  Inc.),Ozone_8.vst
